ID|MNAME|MADMIN|MLOCADDR|MLOCCITY|MSTATE|MLOCZIP|MCRNUM|LAT|LONG|URL
6030010|Kwajalein Hospital|Elaine McMahon, Administrator|U S Army Kwajalein Atoll|Kwajalein Island|MP|96960||7.0833|-171.1333|
6040001|Wilma N. Vazquez Medical Center|Ramon J Vilar, Administrator|KM 39 1/2 Road 2, Call Box 7001|Vega Baja|PR|00694|400115|18.4533|-66.4069|
6040002|Hospital San Francisco|Marcos Aguila, Chief Executive Officer|371 Avenida De Diego|San Juan|PR|00923-1711|400098|18.398613|-66.038946|www.sanpablo.com
6040004|Hospital HIMA San Pablo Caguas|Claudia V. Guzman, Executive Director|Avenida Munoz Marin|Caguas|PR|00726|400120|18.2381|-66.0372|
6040005|Hospital Buen Samaritano|Sarah I. Villanueva Cabrera, Interim Executive Director|Carr #2 Km 141-1 Ave Severiano Cuevas|Aguadilla|PR|00603|400079|18.4553|-67.1319|www.hbspr.org
6040006|Cardiovascular Center of Puerto Rico and the Caribbean|Waleska Crespo, Executive Director|Americo Miranda Centro Medico|San Juan|PR|00936|400124|18.4174|-66.0761|www.cardiovascular.gobierno.pr
6040007|Hospital Manati Medical Center|Alfonso Vazquez, Executive Director|Calle Hernandez, Carrion 668|Manati|PR|00674|400114|18.4276|-66.4843|www.manatimedical.com
6040008|Hospital Metropolitano San German|Nannete Acosta, Chief Executive Officer|Calle Javilla Al Costado Parque de Bombas|San German|PR|00683|400126|18.0926|-67.0404|
6040009|HEALTHSOUTH Rehabilitation Hospital of San Juan|Daniel Del Castillo, Chief Executive Officer|University Hospital, 3rd Floor|San Juan|PR|00923|403025|18.4102|-66.0365|www.healthsouthsanjuan.com
6040011|Hospital San Carlos Borromeo|Rosaida M Crespo, Executive Director|550 Concepcion Vera Ayala|Moca|PR|00676|400111|18.3847|-67.089|www.hscbpr.org
6040012|Hospital San Cristobal|Pedro L Benetti-Loyola, Administrator|506 Carr Road|Coto Laurel|PR|00780|400113|18.0536|-66.5629|www.hospitalsancristobal.com
6040020|Hospital Dr. Cayetano Coll Y Toste|Homar Perez, Chief Executive Officer and Vice President Administration|129 San Luis Avenue|Arecibo|PR|00612|400087|18.4456|-66.7033|www.cayetanoxsn.net
6040030|Hospital Metropolitano Dr. Susoni|Astrid J Abreu, Executive Director|Calle Palma #55|Arecibo|PR|00612|400117|18.4456|-66.7033|www.metropavia.com/DrSusoni.cfm
6040040|Lafayette Hospital|Ruth M Ortiz Vargas, Administrator|Central Lafayette|Arroyo|PR|00714|400026|17.9842|-66.0545|
6040050|University Hospital|Jorge Matta Gonzalez, Executive Director|Nineyas 869 Rio Piedras|San Juan|PR|00922|400061|18.4046|-66.1579|
6040054|Hospital Hermanos Melendez|Maria T Machado, Administrator|Route 2, KM 11-7|Bayamon|PR|00960|400032|18.3935|-66.1605|www.hospitalhermanosmelendez.net
6040055|Hospital San Pablo|Jose E Carballo, Chief Executive Officer and Managing Director|Calle Santa Cruz 70|Bayamon|PR|00961-7020|400109|18.397256|-66.148919|www.sanpablo.com
6040070|Castaner General Hospital|Domingo Monroig, Executive Director|KM 64-2, Route 135|Castaner|PR|00631|400010|18.2094|-66.865|
6040080|Hospital Menonita De Cayey|Pedro Melendez, Chief Executive Director|4 H Mendoza Street|Cayey|PR|00736-3801|400013|18.1124|-66.1651|www.hospitalmenonita.com
6040090|Hospital Metropolitan|Jose Rosado, Chief Executive Officer|1785 Carr 21|San Juan|PR|00921-3399|400106|18.4046|-66.1579|
6040110|Hospital San Pablo Del Este|Aixa Irizarry, Executive Director|Avenida General Valero, 404|Fajardo|PR|00738|400125|18.3356|-65.6535|www.sanpablo.com
6040115|Doctor's Center of Bayamon|Carlos Blanco, Administrator|Extension Hermanas Davila|Bayamon|PR|00960|400102|18.3935|-66.1605|
6040129|HEALTHSOUTH Hospital of Manati|Enrique A Vicens-Rivera Jr, Chief Executive Officer|Carretera 2, Kilometro 47 7|Manati|PR|00674|403026|18.3927|-66.0745|www.healthsouth.com
6040135|Hospital Santa Rosa|Gloria Diaz, Executive Director|Veterans Avenue|Guayama|PR|00784|400009|17.983|-66.1225|
6040145|Hospital Episcopal San Lucas Guayama|Julio Colon, Chief Executive Officer|Avenue Pedro Albizu Campos|Guayama|PR|00784|400048|17.983|-66.1225|www.ssepr.com
6040155|Auxilio Mutuo Hospital|Jorge L Matta Serrano, Administrator|Ponce De Leon Avenue|San Juan|PR|00918-1000|400016|18.4193|-66.0645|www.auxiliomutuo.com
6040157|Hospital Del Maestro|Jorge Torres Otero, Executive Director|550 Sergio Cuevas|San Juan|PR|00918-3741|400004|18.411191|-66.068029|
6040160|Hospital Oriente|Juan Carlos Latorre, Administrator|300 Font Martelo Street|Humacao|PR|00791-3230|400011|18.1511|-65.8188|
